       Step     Time          Energy         fmax
GPMin:    3 15:45:01       -4.357355        0.0987
GPMin:    4 15:45:09       -4.366731        0.1250
GPMin:    5 15:45:17       -4.379946        0.1074
GPMin:    6 15:45:51       -4.403245        0.1056
GPMin:    7 15:46:13       -4.409989        0.0943
GPMin:    8 15:46:44       -4.426352        0.0864
GPMin:    9 15:46:53       -4.432851        0.0890
GPMin:   10 15:47:03       -4.458553        0.1189
GPMin:   11 15:47:19       -4.467169        0.0588
GPMin:   12 15:47:54       -4.478075        0.1561
GPMin:   13 15:48:05       -4.556511        0.2539
GPMin:   14 15:48:15       -4.611115        0.2832
GPMin:   15 15:48:26       -4.650907        0.2632
GPMin:   16 15:48:36       -4.716901        0.1891
GPMin:   17 15:48:46       -4.732625        0.1969
GPMin:   18 15:48:54       -4.741274        0.1728
GPMin:   19 15:49:05       -4.775455        0.1445
GPMin:   20 15:49:15       -4.802824        0.1264
GPMin:   21 15:49:24       -4.818760        0.1021
GPMin:   22 15:49:33       -4.836566        0.0828
GPMin:   23 15:49:41       -4.850414        0.0744
GPMin:   24 15:49:50       -4.863807        0.0637
GPMin:   25 15:49:58       -4.873419        0.0507
GPMin:   26 15:50:06       -4.881285        0.0373
GPMin:   27 15:50:14       -4.885289        0.0279
GPMin:   28 15:50:22       -4.887280        0.0268
GPMin:   29 15:50:31       -4.888400        0.0298
GPMin:   30 15:50:37       -4.888878        0.0238
GPMin:   31 15:50:44       -4.889406        0.0214
GPMin:   32 15:50:51       -4.889869        0.0110
       Step     Time          Energy         fmax
GPMin:    0 15:51:06       -3.172093        1.3524
GPMin:    1 15:51:16       -4.012806        0.6050
GPMin:    2 15:51:26       -4.289911        0.2557
GPMin:    3 15:51:37       -4.355679        0.0979
GPMin:    4 15:51:45       -4.364944        0.1245
GPMin:    5 15:51:53       -4.378427        0.1072
GPMin:    6 15:52:27       -4.400744        0.1083
GPMin:    7 15:52:49       -4.411164        0.0921
GPMin:    8 15:53:20       -4.428130        0.1492
GPMin:    9 15:53:28       -4.434828        0.1112
GPMin:   10 15:53:37       -4.441251        0.0663
GPMin:   11 15:54:09       -4.453917        0.1582
GPMin:   12 15:54:20       -4.460161        0.0946
GPMin:   13 15:54:40       -4.465593        0.0367
GPMin:   14 15:55:03       -4.468719        0.0485
GPMin:   15 15:55:16       -4.525484        0.2536
GPMin:   16 15:55:26       -4.581237        0.2257
