       Step     Time          Energy         fmax
GPMin:   27 17:26:09       -4.829370        0.0505
GPMin:   28 17:26:18       -4.841463        0.0478
GPMin:   29 17:26:27       -4.851844        0.0448
GPMin:   30 17:26:36       -4.862271        0.0616
GPMin:   31 17:26:45       -4.867800        0.0580
GPMin:   32 17:26:53       -4.871268        0.0504
GPMin:   33 17:26:59       -4.877243        0.0437
GPMin:   34 17:27:07       -4.883541        0.0292
GPMin:   35 17:27:15       -4.887745        0.0270
GPMin:   36 17:27:23       -4.889412        0.0146
       Step     Time          Energy         fmax
GPMin:    0 17:27:37       -4.637224        0.2033
GPMin:    1 17:27:48       -4.741235        0.1774
GPMin:    2 17:27:58       -4.805986        0.1527
GPMin:    3 17:28:08       -4.851752        0.0822
GPMin:    4 17:28:16       -4.875860        0.0743
GPMin:    5 17:28:23       -4.893479        0.0687
GPMin:    6 17:28:31       -4.909731        0.0508
GPMin:    7 17:28:39       -4.922906        0.0432
GPMin:    8 17:28:46       -4.930566        0.0224
GPMin:    9 17:28:52       -4.932605        0.0129
       Step     Time          Energy         fmax
GPMin:    0 17:29:06       -4.325227        0.2318
GPMin:    1 17:29:15       -4.445925        0.2144
GPMin:    2 17:29:25       -4.521119        0.1225
GPMin:    3 17:29:35       -4.560547        0.1170
GPMin:    4 17:29:44       -4.632964        0.1339
GPMin:    5 17:29:52       -4.717188        0.1563
GPMin:    6 17:30:01       -4.797543        0.1657
GPMin:    7 17:30:10       -4.854671        0.1419
GPMin:    8 17:30:19       -4.882949        0.0922
GPMin:    9 17:30:27       -4.897707        0.1076
GPMin:   10 17:30:36       -4.914006        0.0970
GPMin:   11 17:30:44       -4.925953        0.0503
GPMin:   12 17:30:52       -4.930984        0.0279
GPMin:   13 17:30:58       -4.932517        0.0174
       Step     Time          Energy         fmax
GPMin:    0 17:31:13       -4.415173        0.2342
GPMin:    1 17:31:23       -4.515991        0.1424
GPMin:    2 17:31:33       -4.570311        0.1262
GPMin:    3 17:31:43       -4.650538        0.1460
GPMin:    4 17:31:51       -4.744698        0.1697
GPMin:    5 17:32:01       -4.834786        0.1787
GPMin:    6 17:32:11       -4.898893        0.1418
GPMin:    7 17:32:21       -4.924329        0.0700
GPMin:    8 17:32:30       -4.928368        0.0475
GPMin:    9 17:32:39       -4.932293        0.0320
GPMin:   10 17:32:48       -4.933565        0.0100
       Step     Time          Energy         fmax
GPMin:    0 17:33:12       -3.766470        0.4369
GPMin:    1 17:33:25       -3.986573        0.3031
GPMin:    2 17:33:35       -4.139384        0.2648
GPMin:    3 17:33:48       -4.252780        0.2134
GPMin:    4 17:33:57       -4.328889        0.2056
GPMin:    5 17:34:09       -4.399321        0.1914
GPMin:    6 17:34:19       -4.453929        0.1265
GPMin:    7 17:34:29       -4.475419        0.0654
GPMin:    8 17:34:38       -4.479945        0.0535
GPMin:    9 17:34:47       -4.488089        0.0501
GPMin:   10 17:34:56       -4.502137        0.0828
GPMin:   11 17:35:04       -4.538395        0.0949
GPMin:   12 17:35:14       -4.593528        0.1252
GPMin:   13 17:35:24       -4.658225        0.1552
GPMin:   14 17:35:33       -4.731481        0.1725
GPMin:   15 17:35:43       -4.798808        0.1663
GPMin:   16 17:35:53       -4.846306        0.1425
GPMin:   17 17:36:03       -4.872383        0.1053
GPMin:   18 17:36:13       -4.885764        0.1035
GPMin:   19 17:36:23       -4.898571        0.1172
GPMin:   20 17:36:33       -4.912370        0.0835
GPMin:   21 17:36:41       -4.922391        0.0416
GPMin:   22 17:36:49       -4.927153        0.0308
GPMin:   23 17:36:57       -4.929345        0.0304
GPMin:   24 17:37:05       -4.931154        0.0211
GPMin:   25 17:37:14       -4.931797        0.0203
GPMin:   26 17:37:22       -4.932409        0.0190
       Step     Time          Energy         fmax
GPMin:    0 17:37:41       -4.637224        0.2034
GPMin:    1 17:37:53       -4.741195        0.1774
GPMin:    2 17:38:04       -4.805965        0.1528
GPMin:    3 17:38:16       -4.851738        0.0822
GPMin:    4 17:38:24       -4.875850        0.0743
GPMin:    5 17:38:33       -4.893473        0.0687
GPMin:    6 17:38:42       -4.909725        0.0508
GPMin:    7 17:38:51       -4.922902        0.0432
GPMin:    8 17:38:59       -4.930564        0.0224
GPMin:    9 17:39:06       -4.932605        0.0129
       Step     Time          Energy         fmax
GPMin:    0 17:39:26       -3.731484        0.5565
GPMin:    1 17:39:37       -3.976681        0.2431
GPMin:    2 17:39:48       -4.093044        0.2202
GPMin:    3 17:40:00       -4.170622        0.1503
GPMin:    4 17:40:11       -4.208192        0.1025
GPMin:    5 17:40:21       -4.222306        0.1013
GPMin:    6 17:40:31       -4.269735        0.1345
GPMin:    7 17:40:40       -4.322638        0.1378
GPMin:    8 17:40:48       -4.372465        0.1197
GPMin:    9 17:40:55       -4.402007        0.0619
GPMin:   10 17:41:03       -4.411564        0.0570
GPMin:   11 17:41:11       -4.416770        0.0520
GPMin:   12 17:41:19       -4.425974        0.0461
GPMin:   13 17:41:28       -4.434177        0.0399
GPMin:   14 17:41:37       -4.440737        0.0318
GPMin:   15 17:41:45       -4.445943        0.0283
GPMin:   16 17:41:54       -4.451180        0.0229
GPMin:   17 17:42:01       -4.454153        0.0198
       Step     Time          Energy         fmax
GPMin:    0 17:42:13       -4.474991        0.2318
GPMin:    1 17:42:22       -4.556947        0.1336
GPMin:    2 17:42:33       -4.607678        0.1192
GPMin:    3 17:42:42       -4.672153        0.1287
GPMin:    4 17:42:52       -4.727458        0.0994
GPMin:    5 17:43:01       -4.759135        0.0573
GPMin:    6 17:43:10       -4.775518        0.0814
GPMin:    7 17:43:19       -4.803485        0.0801
GPMin:    8 17:43:28       -4.836803        0.0634
GPMin:    9 17:43:37       -4.868447        0.0671
GPMin:   10 17:43:45       -4.893698        0.0684
GPMin:   11 17:43:54       -4.908027        0.0685
GPMin:   12 17:44:02       -4.917680        0.0494
GPMin:   13 17:44:10       -4.924238        0.0440
GPMin:   14 17:44:17       -4.928771        0.0392
GPMin:   15 17:44:24       -4.931491        0.0327
GPMin:   16 17:44:32       -4.933200        0.0120
       Step     Time          Energy         fmax
GPMin:    0 17:44:46       -3.974580        0.3852
GPMin:    1 17:44:57       -4.193131        0.3335
GPMin:    2 17:45:07       -4.324777        0.2350
GPMin:    3 17:45:17       -4.406622        0.1767
GPMin:    4 17:45:26       -4.472069        0.1428
GPMin:    5 17:45:34       -4.510140        0.0890
GPMin:    6 17:45:43       -4.527793        0.0887
GPMin:    7 17:45:52       -4.564663        0.1035
GPMin:    8 17:46:01       -4.618472        0.1398
GPMin:    9 17:46:09       -4.681781        0.1735
GPMin:   10 17:46:18       -4.746483        0.1939
GPMin:   11 17:46:27       -4.803081        0.1867
GPMin:   12 17:46:36       -4.848083        0.1498
GPMin:   13 17:46:46       -4.878119        0.0879
GPMin:   14 17:46:55       -4.895515        0.1161
GPMin:   15 17:47:04       -4.908247        0.0940
GPMin:   16 17:47:12       -4.920653        0.0552
GPMin:   17 17:47:19       -4.927416        0.0445
GPMin:   18 17:47:25       -4.929800        0.0316
GPMin:   19 17:47:33       -4.931570        0.0245
GPMin:   20 17:47:41       -4.932274        0.0172
       Step     Time          Energy         fmax
GPMin:    0 17:47:56       -4.209651        0.6025
GPMin:    1 17:48:06       -4.458569        0.0976
GPMin:    2 17:48:22       -4.470656        0.0105
